UUID;Version;Name (en);Category (original);Compliance;Background database(s);Location code;Type;Reference year;Valid until;URL;Declaration owner;Publication date;Registration number;Registration authority;Predecessor UUID;Predecessor Version;Predecessor URL;Ref. quantity;Ref. unit;Reference flow UUID;Reference flow name;Bulk Density (kg/m3);Grammage (kg/m2);Gross Density (kg/m3);Layer Thickness (m);Productiveness (m2);Linear Density (kg/m);Weight Per Piece (kg);Conversion factor to 1kg;Carbon content (biogenic) in kg;Carbon content (biogenic) - packaging in kg;Module;Scenario;Scenario Description;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET;AP (A2);GWPtotal (A2);GWPbiogenic (A2);GWPfossil (A2);GWPluluc (A2);ETPfw (A2);PM (A2);EPmarine (A2);EPfreshwater (A2);EPterrestrial (A2);HTPc (A2);HTPnc (A2);IRP (A2);SOP (A2);ODP (A2);POCP (A2);ADPF (A2);ADPE (A2);WDP (A2);
cc55d33b-a91d-4c27-7d36-08d8beafdbc9;07.02.008;Steel Reinforcement Bar;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.0)' / 'ISO 14025';'GaBi database (28d74cc0-db8b-4d7e-bc44-5f6d56ce0c4a)ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;average dataset;2021;2029;https://data.environdec.com/resource/processes/cc55d33b-a91d-4c27-7d36-08d8beafdbc9?version=07.02.008;Stena Stål AB;2025-04-30;EPD-IES-0002630:005 (S-P-02630);The International EPD System;cc55d33b-a91d-4c27-7d36-08d8beafdbc9;07.02.007;;1000;kg;27e0c864-ce6a-4c0c-3dc7-08dd87c6b19c;Steel reinforcement bar;;;;;;;;;;0.02;A1-A3;;;;;;;;;;3940;0;3940;3040;0;3040;1110;0;651;47.6;0.208;214;0.0628;0;157;0.588;6.67;12;1.29;381;9.38;371;0.527;;;0.534;0.00342;5.71;;;;;0.0000323;1.36;3040;0.000169;77.9;
cc55d33b-a91d-4c27-7d36-08d8beafdbc9;07.02.008;Steel Reinforcement Bar;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.0)' / 'ISO 14025';'GaBi database (28d74cc0-db8b-4d7e-bc44-5f6d56ce0c4a)ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;average dataset;2021;2029;https://data.environdec.com/resource/processes/cc55d33b-a91d-4c27-7d36-08d8beafdbc9?version=07.02.008;Stena Stål AB;2025-04-30;EPD-IES-0002630:005 (S-P-02630);The International EPD System;cc55d33b-a91d-4c27-7d36-08d8beafdbc9;07.02.007;;1000;kg;27e0c864-ce6a-4c0c-3dc7-08dd87c6b19c;Steel reinforcement bar;;;;;;;;;;0.02;A4;;;;;;;;;;11.4;0;11.4;157;0;157;0;0;0;0.0125;0.000000000487;0.024;0.000294;0;0;0;0;0;0.0164;11.6;0.0341;11.5;0.107;;;0.00584;0.0000422;0.0694;;;;;0.0000000000015;0.0143;157;0.00000076;0.14;
cc55d33b-a91d-4c27-7d36-08d8beafdbc9;07.02.008;Steel Reinforcement Bar;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.0)' / 'ISO 14025';'GaBi database (28d74cc0-db8b-4d7e-bc44-5f6d56ce0c4a)ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;average dataset;2021;2029;https://data.environdec.com/resource/processes/cc55d33b-a91d-4c27-7d36-08d8beafdbc9?version=07.02.008;Stena Stål AB;2025-04-30;EPD-IES-0002630:005 (S-P-02630);The International EPD System;cc55d33b-a91d-4c27-7d36-08d8beafdbc9;07.02.007;;1000;kg;27e0c864-ce6a-4c0c-3dc7-08dd87c6b19c;Steel reinforcement bar;;;;;;;;;;0.02;A5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cc55d33b-a91d-4c27-7d36-08d8beafdbc9;07.02.008;Steel Reinforcement Bar;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.0)' / 'ISO 14025';'GaBi database (28d74cc0-db8b-4d7e-bc44-5f6d56ce0c4a)ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;average dataset;2021;2029;https://data.environdec.com/resource/processes/cc55d33b-a91d-4c27-7d36-08d8beafdbc9?version=07.02.008;Stena Stål AB;2025-04-30;EPD-IES-0002630:005 (S-P-02630);The International EPD System;cc55d33b-a91d-4c27-7d36-08d8beafdbc9;07.02.007;;1000;kg;27e0c864-ce6a-4c0c-3dc7-08dd87c6b19c;Steel reinforcement bar;;;;;;;;;;0.02;B1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cc55d33b-a91d-4c27-7d36-08d8beafdbc9;07.02.008;Steel Reinforcement Bar;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.0)' / 'ISO 14025';'GaBi database (28d74cc0-db8b-4d7e-bc44-5f6d56ce0c4a)ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;average dataset;2021;2029;https://data.environdec.com/resource/processes/cc55d33b-a91d-4c27-7d36-08d8beafdbc9?version=07.02.008;Stena Stål AB;2025-04-30;EPD-IES-0002630:005 (S-P-02630);The International EPD System;cc55d33b-a91d-4c27-7d36-08d8beafdbc9;07.02.007;;1000;kg;27e0c864-ce6a-4c0c-3dc7-08dd87c6b19c;Steel reinforcement bar;;;;;;;;;;0.02;B2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cc55d33b-a91d-4c27-7d36-08d8beafdbc9;07.02.008;Steel Reinforcement Bar;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.0)' / 'ISO 14025';'GaBi database (28d74cc0-db8b-4d7e-bc44-5f6d56ce0c4a)ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;average dataset;2021;2029;https://data.environdec.com/resource/processes/cc55d33b-a91d-4c27-7d36-08d8beafdbc9?version=07.02.008;Stena Stål AB;2025-04-30;EPD-IES-0002630:005 (S-P-02630);The International EPD System;cc55d33b-a91d-4c27-7d36-08d8beafdbc9;07.02.007;;1000;kg;27e0c864-ce6a-4c0c-3dc7-08dd87c6b19c;Steel reinforcement bar;;;;;;;;;;0.02;B3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cc55d33b-a91d-4c27-7d36-08d8beafdbc9;07.02.008;Steel Reinforcement Bar;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.0)' / 'ISO 14025';'GaBi database (28d74cc0-db8b-4d7e-bc44-5f6d56ce0c4a)ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;average dataset;2021;2029;https://data.environdec.com/resource/processes/cc55d33b-a91d-4c27-7d36-08d8beafdbc9?version=07.02.008;Stena Stål AB;2025-04-30;EPD-IES-0002630:005 (S-P-02630);The International EPD System;cc55d33b-a91d-4c27-7d36-08d8beafdbc9;07.02.007;;1000;kg;27e0c864-ce6a-4c0c-3dc7-08dd87c6b19c;Steel reinforcement bar;;;;;;;;;;0.02;B4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cc55d33b-a91d-4c27-7d36-08d8beafdbc9;07.02.008;Steel Reinforcement Bar;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.0)' / 'ISO 14025';'GaBi database (28d74cc0-db8b-4d7e-bc44-5f6d56ce0c4a)ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;average dataset;2021;2029;https://data.environdec.com/resource/processes/cc55d33b-a91d-4c27-7d36-08d8beafdbc9?version=07.02.008;Stena Stål AB;2025-04-30;EPD-IES-0002630:005 (S-P-02630);The International EPD System;cc55d33b-a91d-4c27-7d36-08d8beafdbc9;07.02.007;;1000;kg;27e0c864-ce6a-4c0c-3dc7-08dd87c6b19c;Steel reinforcement bar;;;;;;;;;;0.02;B5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cc55d33b-a91d-4c27-7d36-08d8beafdbc9;07.02.008;Steel Reinforcement Bar;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.0)' / 'ISO 14025';'GaBi database (28d74cc0-db8b-4d7e-bc44-5f6d56ce0c4a)ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;average dataset;2021;2029;https://data.environdec.com/resource/processes/cc55d33b-a91d-4c27-7d36-08d8beafdbc9?version=07.02.008;Stena Stål AB;2025-04-30;EPD-IES-0002630:005 (S-P-02630);The International EPD System;cc55d33b-a91d-4c27-7d36-08d8beafdbc9;07.02.007;;1000;kg;27e0c864-ce6a-4c0c-3dc7-08dd87c6b19c;Steel reinforcement bar;;;;;;;;;;0.02;B6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cc55d33b-a91d-4c27-7d36-08d8beafdbc9;07.02.008;Steel Reinforcement Bar;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.0)' / 'ISO 14025';'GaBi database (28d74cc0-db8b-4d7e-bc44-5f6d56ce0c4a)ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;average dataset;2021;2029;https://data.environdec.com/resource/processes/cc55d33b-a91d-4c27-7d36-08d8beafdbc9?version=07.02.008;Stena Stål AB;2025-04-30;EPD-IES-0002630:005 (S-P-02630);The International EPD System;cc55d33b-a91d-4c27-7d36-08d8beafdbc9;07.02.007;;1000;kg;27e0c864-ce6a-4c0c-3dc7-08dd87c6b19c;Steel reinforcement bar;;;;;;;;;;0.02;B7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
